,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
274,Plettenberg Bay,86,ZA,1570044593,42,-34.05,23.37,65.54,3.71
275,Upernavik,0,GL,1570044941,71,72.79,-56.15,37.05,11.48
276,Sampit,97,ID,1570044941,98,-2.54,112.95,72.87,0.63
277,Umm Bab,1,QA,1570044941,41,25.21,50.81,91.4,1.12
278,Miri,79,NG,1570044941,77,10.31,9.75,73.39,3.27
279,Cayenne,40,GF,1570044846,62,4.94,-52.33,89.6,16.11
280,Lasa,20,CY,1570044942,73,34.92,32.53,75.2,5.82
281,Alexandria,0,RO,1570044745,52,43.97,25.33,66.0,8.77
282,Port Alfred,100,ZA,1570044942,93,-33.59,26.89,61.0,1.01
283,Lompoc,1,US,1570044792,25,34.64,-120.46,77.0,6.93
284,Arlit,48,NE,1570044942,9,18.74,7.39,93.05,11.05
285,Hamilton,90,CA,1570044943,100,43.26,-79.87,59.0,13.87
286,Cascais,20,PT,1570044943,68,38.7,-9.42,66.2,13.87
287,Kavaratti,22,IN,1570044943,76,10.57,72.64,81.64,7.78
288,Grindavik,90,IS,1570044943,75,63.84,-22.43,44.6,29.97
289,Kavieng,100,PG,1570044819,77,-2.57,150.8,81.44,5.03
290,Porto Velho,40,BR,1570044944,74,-8.75,-63.87,78.8,8.05
291,Sheridan,20,US,1570044906,58,39.65,-105.03,63.0,4.7
292,Visby,40,SE,1570044944,93,57.64,18.3,39.99,3.36
293,Saryozek,0,KZ,1570044945,51,44.36,77.98,47.31,2.82
294,Luganville,90,VU,1570044945,88,-15.51,167.18,75.2,9.17
295,Cordoba,0,AR,1570044945,19,-27.78,-67.24,62.25,10.25
296,Calabazar de Sagua,75,CU,1570044945,74,22.65,-79.9,82.4,8.05
297,Los Llanos de Aridane,20,ES,1570044801,83,28.66,-17.92,75.2,11.41
298,Itanhem,9,BR,1570044946,71,-17.17,-40.33,69.7,4.34
299,Gondanglegi,64,ID,1570044946,96,-7.75,112.01,71.0,5.32
300,Ilulissat,75,GL,1570044782,29,69.22,-51.1,50.0,21.92
301,Molchanovo,93,RU,1570044946,77,57.58,83.76,40.47,8.99
302,Mahebourg,40,MU,1570044797,83,-20.41,57.7,75.2,11.41
303,Tilichiki,100,RU,1570044817,99,60.47,166.1,34.14,7.23
304,Cherskiy,19,RU,1570044807,86,68.75,161.3,19.97,15.19
305,Comodoro Rivadavia,40,AR,1570044947,40,-45.87,-67.48,53.6,10.29
306,Quang Ngai,97,VN,1570044947,97,15.12,108.8,68.77,2.1
307,Brae,67,GB,1570044833,87,60.4,-1.35,50.0,11.41
308,Moroni,20,GR,1570044948,88,35.09,24.92,73.99,6.93
309,Kupang,0,ID,1570044948,60,-10.16,123.6,75.2,6.93
310,Okha,48,RU,1570044948,62,53.59,142.95,40.8,26.33
311,Saint-Philippe,90,CA,1570044948,62,45.36,-73.48,55.4,12.75
312,Sioux Lookout,75,CA,1570044607,70,50.1,-91.92,42.8,5.82
313,Atambua,41,ID,1570044858,75,-9.11,124.89,76.36,4.09
314,Doha,1,QA,1570044766,41,25.29,51.53,91.4,1.12
315,Aykhal,90,RU,1570044870,92,65.95,111.51,23.0,4.47
316,Gravelbourg,100,CA,1570044949,92,49.88,-106.56,39.9,5.26
317,Emerald,90,AU,1570044949,77,-23.53,148.16,66.2,12.75
318,Beloha,100,MG,1570044949,78,-25.17,45.06,70.28,12.75
319,Sao Filipe,0,CV,1570044829,83,14.9,-24.5,78.61,18.05
320,Touros,20,BR,1570044865,51,-5.2,-35.46,84.2,11.41
321,Clyde River,75,CA,1570044825,93,70.47,-68.59,37.4,5.82
322,Big Rapids,90,US,1570044818,87,43.7,-85.48,59.0,13.87
323,Maragogi,0,BR,1570044950,85,-9.01,-35.22,72.26,5.7
324,Banepa,75,NP,1570044950,88,27.63,85.52,68.0,3.36
325,Aranda de Duero,91,ES,1570044951,72,41.67,-3.69,52.64,6.85
326,Nampula,75,MZ,1570044951,94,-15.12,39.26,73.4,5.82
327,Santa Marta,40,CO,1570044951,70,11.24,-74.21,87.8,11.41
328,Negombo,40,LK,1570044951,88,7.21,79.83,80.6,2.24
329,Hay River,75,CA,1570044951,38,60.82,-115.79,60.8,10.29
330,Walvis Bay,0,NA,1570044952,82,-22.95,14.51,63.0,4.7
331,Eydhafushi,100,MV,1570044952,72,5.1,73.07,82.2,4.47
332,Thai Binh,75,VN,1570044952,88,20.45,106.33,80.6,2.24
333,Inhambane,20,MZ,1570044781,77,-23.87,35.38,66.2,4.25
334,Kutum,47,SD,1570044952,40,14.2,24.66,79.23,11.14
335,Lannion,90,FR,1570044953,81,48.73,-3.46,55.0,6.85
336,Airai,0,TL,1570044821,58,-8.93,125.41,68.53,2.95
337,Bongandanga,100,CD,1570044953,92,1.51,21.07,71.2,1.05
338,Neuquen,0,AR,1570044912,33,-38.95,-68.06,57.2,6.93
339,Togur,62,RU,1570044953,81,58.36,82.83,39.5,10.87
340,Bonthe,100,SL,1570044870,87,7.53,-12.5,78.38,7.36
341,Oktyabrskoye,0,RU,1570044877,83,56.73,85.44,41.0,11.18
342,Lavrentiya,66,RU,1570044842,80,65.58,-170.99,38.24,13.6
343,Kropotkin,0,RU,1570044847,53,45.43,40.58,64.0,10.98
344,Noumea,20,NC,1570044954,76,-22.28,166.46,73.0,2.24
345,Aksarka,52,RU,1570044834,81,66.56,67.8,41.35,16.67
346,Ixtapa,40,MX,1570044866,58,20.71,-105.21,87.8,8.05
347,Lichuan,100,CN,1570044954,69,30.3,108.94,68.39,5.19
348,Faya,0,SA,1570044772,82,18.39,42.45,66.2,2.73
349,Solnechnyy,100,RU,1570044955,90,50.72,136.64,34.3,4.25
350,Adrar,0,DZ,1570044869,13,27.87,-0.29,95.0,6.93
351,Hoquiam,1,US,1570044955,66,46.98,-123.89,61.0,8.05
352,Aguazul,75,CO,1570044955,87,5.17,-72.55,72.71,1.45
353,Ballybofey,75,IE,1570044956,76,54.8,-7.78,51.8,2.24
354,Omsukchan,0,RU,1570044787,81,62.53,155.8,9.37,4.0
355,Shush,60,RU,1570044956,73,55.6,89.45,35.68,10.0
356,Haldwani,0,IN,1570044956,93,29.22,79.53,56.85,3.2
357,El Alto,75,BO,1570044956,66,-16.5,-68.19,50.0,12.75
358,Newport,75,GB,1570044641,66,51.59,-3.0,53.01,4.7
359,Huallanca,98,PE,1570044957,83,-9.9,-76.94,41.8,1.3
360,Hit,10,IQ,1570044841,18,33.64,42.83,87.85,11.27
361,Bilibino,100,RU,1570044957,94,68.06,166.44,11.26,5.48
362,Kakinada,89,IN,1570044957,89,16.93,82.22,76.33,4.59
363,Egvekinot,100,RU,1570044958,95,66.32,-179.17,29.1,2.82
364,Katsuura,75,JP,1570044802,78,33.93,134.5,78.8,28.86
365,Zabid,100,YE,1570044958,82,14.2,44.5,67.29,0.49
366,Mikhaylovka,0,RU,1570044958,75,52.96,103.29,29.26,3.74
367,Alekseyevsk,74,RU,1570044959,93,57.84,108.35,28.43,7.96
368,Tuktoyaktuk,90,CA,1570044959,93,69.44,-133.03,37.4,4.7
369,Lugovoy,100,RU,1570044959,90,59.72,65.88,48.75,11.74
370,Pakala,88,GM,1570044959,84,13.62,-15.52,78.27,6.26
371,Buritama,24,BR,1570044960,28,-21.07,-50.14,93.14,5.14
372,Huarmey,23,PE,1570044960,90,-10.07,-78.15,61.84,17.98
373,Verkhnetulomskiy,90,RU,1570044960,91,68.61,31.8,32.0,6.71
374,Mitsamiouli,0,KM,1570044961,80,-11.38,43.28,78.34,10.89
375,Yagodnoye,99,RU,1570044961,85,62.52,149.63,15.2,3.47
376,Tambongon,40,PH,1570044961,94,7.26,125.66,75.2,3.36
377,Umba,0,RU,1570044961,82,66.69,34.34,31.29,7.81
378,Maksatikha,100,RU,1570044961,93,57.8,35.88,42.97,5.86
379,Ucluelet,90,CA,1570044944,87,48.94,-125.55,55.0,3.36
380,Alvorada,90,BR,1570044962,94,-30.0,-51.08,73.0,5.82
381,Phan Thiet,0,VN,1570044855,93,10.93,108.1,72.01,2.86
382,Shiyan,9,CN,1570044962,69,32.65,110.78,61.82,1.25
383,Busayra,0,JO,1570044962,74,30.74,35.61,71.68,1.19
384,Staryy Nadym,100,RU,1570044963,94,65.61,72.68,47.31,15.99
385,Novosergiyevka,75,RU,1570044963,66,52.08,53.65,49.62,8.68
386,Knysna,100,ZA,1570044963,63,-34.04,23.05,62.6,5.82
387,Luena,85,AO,1570044963,40,-11.78,19.91,63.15,2.98
388,Marienburg,20,DE,1570044964,81,52.12,9.98,51.01,11.41
389,Sao Mateus,4,BR,1570044964,74,-18.72,-39.86,71.23,5.46
390,Kota Belud,75,MY,1570044964,94,6.35,116.43,71.6,5.82
391,Tobol,90,SE,1570044964,81,59.83,12.54,42.8,8.05
392,Lamu,88,CN,1570044964,73,35.77,102.37,53.52,4.07
393,Buraydah,0,SA,1570044965,29,26.33,43.97,87.8,8.05
394,Manado,20,ID,1570044826,94,1.49,124.85,71.6,3.36
395,Petauke,89,ZM,1570044965,77,-14.25,31.33,68.37,5.28
396,Puerto Carreno,40,CO,1570044791,47,6.19,-67.49,95.0,4.36
397,Victor Harbor,75,AU,1570044965,82,-35.55,138.62,57.2,10.29
398,Burnie,0,AU,1570044568,86,-41.05,145.91,50.0,1.01
399,Kindu,0,CD,1570044966,94,-2.95,25.92,70.78,2.42
400,Ambon,0,FR,1570044785,71,47.55,-2.56,59.0,6.93
401,Kichmengskiy Gorodok,100,RU,1570044966,91,59.99,45.81,47.02,8.55
402,Zhovti Vody,0,UA,1570044966,67,48.35,33.5,57.2,8.95
403,Boralday,40,KZ,1570044967,86,43.36,76.86,41.0,2.24
404,Maniitsoq,100,GL,1570044835,58,65.42,-52.9,43.78,7.81
405,Chikhli,20,IN,1570044967,94,20.76,73.06,80.6,5.64
406,Bayangol,43,MN,1570044967,71,48.91,106.09,28.79,5.06
407,Rongcheng,0,CN,1570044967,22,37.16,122.42,72.0,3.0
408,Gutierrez,79,AR,1570044968,31,-39.11,-67.07,56.92,3.0
409,Barreiras,85,BR,1570044968,33,-12.14,-45.0,86.41,4.34
410,Turukhansk,100,RU,1570044853,96,65.8,87.96,37.88,6.42
411,Saint-Francois,0,FR,1570044968,81,46.42,3.91,52.0,3.36
412,Teya,75,MX,1570044804,59,21.05,-89.07,89.6,9.66
413,Auki,10,NG,1570044852,77,12.18,6.51,75.9,8.34
414,Pietermaritzburg,78,ZA,1570044969,85,-29.6,30.38,66.0,1.01
415,Portland,90,US,1570044524,77,43.66,-70.25,62.01,9.17
416,Dwarka,40,IN,1570044969,78,28.58,77.04,87.01,5.82
417,Atikokan,100,CA,1570044969,65,48.76,-91.62,45.37,4.88
418,Meulaboh,100,ID,1570044842,80,4.14,96.13,78.67,4.61
419,Sandpoint,1,US,1570044970,61,48.28,-116.55,53.01,4.7
420,Boshnyakovo,100,RU,1570044970,85,49.65,142.17,48.01,28.59
421,Jasper,1,US,1570044841,32,33.83,-87.28,100.0,4.7
422,Kisangani,75,CD,1570044970,74,0.52,25.21,80.6,6.93
423,Zhanakorgan,0,KZ,1570044970,37,43.91,67.25,52.93,9.06
424,Saint-Augustin,75,CA,1570044853,54,45.63,-73.98,55.4,3.36
425,Pevek,100,RU,1570044971,84,69.7,170.27,29.62,11.63
426,Oktyabrskiy,0,RU,1570044971,62,55.61,37.97,59.0,11.18
427,Asuncion,90,PY,1570044971,73,-25.3,-57.63,75.2,6.93
428,Tual,96,ID,1570044972,83,-5.67,132.75,79.37,12.86
429,Pudozh,100,RU,1570044972,93,61.81,36.54,41.62,6.22
430,Palembang,100,ID,1570044972,93,-2.99,104.76,73.92,2.95
431,Dedza,99,MW,1570044973,87,-14.38,34.33,63.58,10.49
432,Sumbe,72,AO,1570044780,88,-11.2,13.84,72.46,12.01
433,Vao,100,EE,1570044817,75,59.1,26.19,44.81,5.28
434,Amalapuram,100,IN,1570044973,89,16.58,82.0,77.97,3.8
435,Whitehorse,75,CA,1570044852,70,60.72,-135.06,46.4,17.22
436,Ponta do Sol,0,BR,1570044973,44,-20.63,-46.0,78.56,4.27
437,Mazamari,100,PE,1570044974,96,-11.33,-74.53,43.89,3.38
438,Hereford,20,GB,1570044974,89,52.06,-2.72,48.99,1.3
439,Ostrovnoy,97,RU,1570044840,73,68.05,39.51,34.39,20.64
440,Singkang,75,MY,1570044974,88,2.1,102.8,75.2,1.12
441,Kholm-Zhirkovskiy,99,RU,1570044974,97,55.52,33.47,53.32,4.94
442,Sitka,54,US,1570044691,38,37.17,-99.65,83.85,7.0
443,Puhja,100,EE,1570044975,81,58.34,26.31,46.4,2.84
444,Agadez,1,NE,1570044975,16,16.97,7.99,96.8,7.43
445,Nouadhibou,0,MR,1570044837,51,20.93,-17.03,80.6,9.17
446,Hornostayivka,0,UA,1570044975,74,47.01,33.73,58.42,10.07
447,Waingapu,25,ID,1570044976,94,-9.65,120.26,69.67,6.49
448,Avera,40,US,1570044976,39,33.19,-82.53,96.01,3.36
449,Havelock,1,US,1570044891,43,34.88,-76.9,91.4,6.93
450,Vila Velha,0,BR,1570044855,54,-3.71,-38.6,84.2,14.99
451,Pachino,0,IT,1570044976,83,36.72,15.09,71.6,2.24
452,Darhan,55,MN,1570044976,68,49.49,105.92,27.98,4.05
453,Antonovo,61,RU,1570044977,72,55.82,88.58,36.03,12.33
454,Palana,94,RU,1570044977,88,59.08,159.95,40.24,7.52
455,Cap Malheureux,40,MU,1570044977,83,-19.98,57.61,75.2,11.41
456,Camp Verde,1,US,1570044977,18,34.56,-111.85,80.01,10.29
457,Nerchinskiy Zavod,100,RU,1570044977,73,51.31,119.61,28.54,4.05
458,Jacareacanga,40,BR,1570044978,44,-6.22,-57.76,98.6,4.7
459,Sumter,1,US,1570044978,41,33.92,-80.34,97.0,6.93
460,Aklavik,75,CA,1570044978,86,68.22,-135.01,37.4,8.05
461,Samfya,98,ZM,1570044978,84,-11.37,29.56,65.06,11.01
462,Uribia,100,CO,1570044979,68,11.71,-72.27,85.56,10.31
463,Namibe,50,AO,1570044524,84,-15.19,12.15,66.44,14.34
464,Saint-Avold,0,FR,1570044979,81,49.1,6.71,51.01,6.93
465,Okhotsk,13,RU,1570044844,50,59.36,143.24,28.41,19.37
466,Yairipok,43,IN,1570044979,99,24.67,94.07,63.31,0.13
467,Saint-Michel-des-Saints,17,CA,1570044980,6,46.68,-73.92,48.99,9.66
468,Kankakee,90,US,1570044980,73,41.12,-87.86,78.01,5.82
469,Paine,20,CL,1570044980,38,-33.81,-70.74,62.6,8.05
470,Fairbanks,90,US,1570044645,86,64.84,-147.72,37.4,5.82
471,Sun Prairie,90,US,1570044981,82,43.18,-89.21,59.0,10.29
472,Atasu,0,KZ,1570044981,35,48.68,71.64,39.88,6.02
473,Saint-Joseph,0,FR,1570044981,72,43.56,6.97,71.01,4.7
474,Ferkessedougou,27,CI,1570044981,89,9.6,-5.2,74.91,4.43
475,Turinskaya Sloboda,100,RU,1570044981,82,57.62,64.39,48.64,10.22
476,Cuamba,23,MZ,1570044982,76,-14.8,36.54,72.71,10.58
477,Gambela,91,ET,1570044859,83,8.25,34.59,67.44,4.99
478,Stephenville,75,CA,1570044982,66,48.55,-58.59,48.99,9.17
479,Dubrajpur,0,IN,1570044982,86,23.79,87.38,75.59,4.45
480,Kalmunai,69,LK,1570044982,87,7.42,81.82,74.91,2.95
481,Pochutla,75,MX,1570044982,70,15.74,-96.47,89.6,3.36
482,Richards Bay,68,ZA,1570044536,72,-28.77,32.06,68.06,25.05
483,Durusu,0,TR,1570044983,37,37.53,40.83,80.6,6.93
484,Kilinochchi,0,LK,1570044983,78,9.4,80.4,81.75,13.02
485,Robertsport,100,LR,1570044983,86,6.75,-11.37,78.42,7.14
486,Ormstown,75,CA,1570044983,58,45.13,-73.99,55.4,10.29
487,Mzimba,5,MW,1570044984,79,-11.9,33.6,65.55,8.39
488,Kiama,0,AU,1570044984,62,-34.67,150.86,57.99,8.05
489,Coquimbo,0,CL,1570044873,45,-29.95,-71.34,62.6,16.11
490,Baraki Barak,0,AF,1570044984,69,33.97,68.95,43.68,2.82
491,Houma,67,CN,1570044984,55,35.63,111.36,67.42,7.83
492,The Valley,20,AI,1570044984,58,18.22,-63.06,89.6,8.05
493,Voi,5,KE,1570044985,82,-3.4,38.57,69.61,4.25
494,Ocos,75,GT,1570044985,79,14.51,-92.19,84.2,6.93
495,Malyye Derbety,0,RU,1570044985,72,47.95,44.68,56.65,3.76
496,Saint-Pierre,0,FR,1570044985,81,48.95,4.24,50.0,8.05
497,Padang,43,ID,1570044770,84,-0.92,100.36,77.86,14.5
498,Kanye,0,BW,1570044977,46,-24.98,25.34,58.92,15.52
499,Tiznit,0,MA,1570044986,71,29.7,-9.73,72.22,31.74
500,Male,66,UA,1570044986,52,50.74,33.7,56.85,12.66
501,Paamiut,100,GL,1570044986,58,61.99,-49.67,46.68,11.27
502,Winchendon,90,US,1570044986,93,42.69,-72.04,69.01,6.26
503,Kostino,0,BG,1570044987,52,41.7,25.3,69.8,2.24
504,Sayyan,3,YE,1570044987,75,15.17,44.32,68.79,2.17
505,Port Lavaca,1,US,1570044750,63,28.61,-96.63,93.99,18.34
506,Altay,0,CN,1570044987,39,47.83,88.13,29.62,9.17
507,Belmonte,67,PT,1570044987,76,40.36,-7.35,60.01,2.89
508,Pushkino,0,RU,1570044988,77,56.01,37.85,59.0,8.95
509,Da Lat,34,VN,1570044866,98,11.95,108.44,65.2,1.43
510,San Cristobal,81,HN,1570044828,51,14.68,-86.92,82.18,4.94
511,Lingyuan,3,CN,1570044988,81,41.24,119.4,53.61,12.59
512,Yaan,98,NG,1570044988,92,7.38,8.57,73.81,3.85
513,Port Lincoln,100,AU,1570044868,84,-34.72,135.86,56.78,7.16
514,Poya,100,NC,1570044989,72,-21.35,165.16,68.05,20.65
515,Zhaodong,20,CN,1570044989,76,46.07,125.99,53.6,15.66
516,Ayagoz,0,KZ,1570044989,38,47.96,80.43,32.55,11.77
517,Bosaso,2,SO,1570044989,73,11.28,49.18,85.47,6.64
518,Katsina,0,NG,1570044990,52,12.99,7.6,82.25,8.52
519,Torres,92,BR,1570044990,86,-29.34,-49.73,70.87,4.16
520,Morondava,0,MG,1570044990,77,-20.3,44.28,79.39,7.31
521,Alapur,0,IN,1570044991,81,27.96,79.23,74.92,4.47
522,Kapit,100,MY,1570044991,99,2.02,112.94,71.13,1.14
523,Erdotelek,75,HU,1570044991,77,47.68,20.32,64.4,9.17
524,Lashio,100,MM,1570044991,99,22.93,97.75,64.68,0.96
525,Mabaruma,100,GY,1570044991,82,8.2,-59.78,80.68,3.85
526,Condega,75,NI,1570044992,73,13.36,-86.4,77.0,4.79
527,Berck,20,FR,1570044992,81,50.41,1.57,48.0,1.12
528,Te Anau,89,NZ,1570044808,76,-45.41,167.72,38.24,1.23
529,Kysyl-Syr,78,RU,1570044840,91,63.9,122.77,22.44,4.74
530,Ayan,0,IR,1570044992,37,38.23,44.7,47.33,2.15
531,Rurrenabaque,75,BO,1570044993,94,-14.44,-67.53,91.4,4.7
532,Ko Samui,64,TH,1570044704,77,9.54,99.94,81.42,6.08
533,Santa Lucia,20,IT,1570044788,82,41.98,12.66,71.6,6.93
534,Karpogory,97,RU,1570044993,90,64.0,44.44,36.96,10.54
535,Talcahuano,20,CL,1570044993,62,-36.72,-73.12,55.4,13.87
536,Tigil,95,RU,1570044994,90,57.8,158.67,39.36,12.53
537,Presidencia Roque Saenz Pena,100,AR,1570044994,80,-26.79,-60.44,61.14,11.14
538,Casa Nova,19,BR,1570044994,26,-16.03,-44.16,84.52,5.95
539,Pilar,75,AR,1570044994,55,-34.46,-58.91,64.0,14.99
540,La Baneza,67,ES,1570044994,66,42.3,-5.9,64.0,2.24
541,Gat,75,SN,1570044848,83,14.69,-16.54,93.2,9.17
542,Mareeba,75,AU,1570044995,83,-16.99,145.42,72.0,9.17
543,Honiara,75,SB,1570044995,94,-9.43,159.96,73.4,5.82
544,Sistranda,75,NO,1570044822,76,63.73,8.83,50.0,11.41
545,Baykalsk,0,RU,1570044874,66,51.52,104.15,27.96,4.12
546,Axim,99,GH,1570044612,91,4.87,-2.24,76.09,6.22
547,Langsa,100,ID,1570044996,91,4.47,97.97,67.08,2.86
548,Casper,90,US,1570044757,81,42.87,-106.31,44.01,12.75
549,Parfenyevo,100,RU,1570044996,88,58.48,43.41,48.57,10.31
